domain,company_commercial_name,company_legal_name,company_all_available_names,phone_numbers,social_media,addresses
bostonzen.org,Greater Boston Zen Center,GREATER BOSTON ZEN CENTER INC.,Greater Boston Zen Center | Boston Zen | GREATER BOSTON ZEN CENTER INC.,,https://www.facebook.com/GreaterBostonZenCenter,
mazautoglass.com,MAZ Auto Glass,,MAZ Auto Glass,4156264474 | 1549226002 | 1224045429 | 6582495698,,"230 Bayshore Blvd.San Francisco, CA 94124"
melatee.com,Melatee,,Melatee,,,
timent.com,Timent Technologies,,Timent Technologies | Timent,9542749020 | 2018315878 | 0000000000 | 0000008180 | 3053914031,https://www.linkedin.com/company/timent-technologies,"Boca Raton, FL 33497"
tlalocrivas.com,Tlaloc Rivas,,Tlaloc Rivas,,,
creativebusinessassociates.com,Creative Business Associates,,Creative Business Associates,,,
cumberland-river.com,Cumberland River,,Cumberland River,,,
verdantporch.com,The Verdant Porch,,The Verdant Porch | Verdant Porch,,,
workitstudio.com,Work It! Studio by WandaWoman,Forge Marketing & Management Pty.,Work It! Studio by WandaWoman | Work It! Studio | Forge Marketing & Management Pty.,,,
coffee-homemachines.club,Coffee-Homemachines,,Coffee-Homemachines | Northecomm LLC.,,,
mendiolagardening.com,Mendiola's Gardening,,Mendiola's Gardening | Mendiola’s gardening - Home,,,
thestonenc.com,Thestonenc,,Thestonenc | The Stone Church | The Stone,,https://www.facebook.com/thestonenc | https://www.instagram.com/thestonech/,
kansaslimousin.org,Kansas Limousin Breeders Association,Kansas Limousin Breeders Association,Kansas Limousin Breeders Association | Kansas Limousin | Kansas Limousin Breeders,6204325056 | 2358928539,https://www.facebook.com/groups/1235892853935518/,
kkcger.com,Kkcger,,Kkcger,7767512014 | 7767512473 | 7767512047 | 1737078280 | 8571428571,,
maddux.pro,MADDUX,,MADDUX | MADDUX Pro-Wash,,,
ohanaconsulting.net,Ohana Management Consulting,,Ohana Management Consulting | OhanaConsulting,9492307919,,
postmodern-strings.com,Postmodern Strings by Viol Consort,,Postmodern Strings by Viol Consort | PostModern Strings,9562806706,,
takapartners.com,Taka Partners,,Taka Partners,,,
techbarstore.com,Ambar Shop,,Ambar Shop,9543715615,https://www.instagram.com/tbtechbar | https://www.tiktok.com/@tbtechbar,"18901 WEST Dixie HWY, Miami, FL 33163"
top-salon-hair-salon.business.site,Top salon Hair Salon,,Top salon Hair Salon | Top salon,,,
dolee-rentals.com,DoLee Rentals Inc.,DoLee Rentals Inc.,DoLee Rentals Inc. | DOLEE RENTALS | DoLee Rentals Inc. DoLee Rentals,2294369620 | 2293445037,https://facebook.com/DoLee-Rentals-Inc-141860142549724 | https://twitter.com/DexYPHQ/,"1001 W Oglethorpe Blvd, Albany, GA 31701"
kns-construction.com,KNS Construction,,KNS Construction,,,
timothyburger.com,Timothy Burger,,Timothy Burger,,,
trueaudio.com,True Audio,,True Audio,8654943388,,
venturemediaagency.com,Venture Media Agency,,Venture Media Agency,7325354027,https://www.facebook.com/venturemediadigital/ | https://www.instagram.com/venturemediadigital/,
garrettwietholter.com,Garrett Wietholter,Garrett Wietholter Ins Agy Inc.,Garrett Wietholter | Garrett Wietholter - State Farm Insurance Agent | Garrett Wietholter Ins Agy Inc.,3178733230 | 9007199254 | 7976931348 | 4294967295 | 8557337333,https://www.facebook.com/153341281385570 | https://www.linkedin.com/in/garrett-wietholter-b5037a88,"11145 N Michigan Rd #100, Zionsville, IN 46077, United States | 6100-4th Ave. S, Seattle, WA 98108"
nashvilleucc.org,Nashville United Church of Christ,,Nashville United Church of Christ | NASHVILLE UCC | Nashville U.C.C. Recreational Park,,,
outforlifeministries.com,Out For Life Ministries,,Out For Life Ministries,,,
phack.org,Pacific Hackers Infosec,,Pacific Hackers Infosec | Pacific Hackers Infosec Conference | Pacific Hackers Meetup & Conference,4089874893,https://www.facebook.com/PHackCon | https://x.com/PHackCon | https://www.instagram.com/pacifichackersca/ | https://www.linkedin.com/company/pacific-hackers-conference,
potomaccanine.com,Potomac Canine,,Potomac Canine | Potomac Canine Services,,,
azureskies.com,Azure Skies Landscaping,,Azure Skies Landscaping,,,
couplescounselingatlanta.com,Atlanta Couples Counseling,,Atlanta Couples Counseling,,,
philstreeppc.com,Phil's Expert,,Phil's Expert,,,
romanthumbs.com,Romanthumbs,,Romanthumbs,,,
topcropalliance.com,Top Crop Alliance,,Top Crop Alliance,8126140436,https://twitter.com/brianbbbush | https://www.facebook.com/topcropagronomy,
smilesbygateway.com,Gateway Dental,,Gateway Dental,8178586333 | 8173698007 | 2602842790 | 2603958898,https://twitter.com/GatewayDental4 | https://www.facebook.com/GatewayDental/,"4013 Gateway Dr. , Colleyville, TX 76034, USA"
solarecon.wordpress.com,Solarecon,,Solarecon | First Solar Inc. | Solar Inc.,1764078722 | 1771405207 | 1764669441 | 1772522099,https://www.facebook.com/WordPresscom,
johnstons-clothiers.business.site,Johnston's Clothiers,,Johnston's Clothiers,,,
ohhappydayshatchetthrowing.com,Oh Happy Days Hatchet Throwing And More,,Oh Happy Days Hatchet Throwing And More | Oh Happy Days Hatchet Throwing,,,
plumbingbydlt.com,Plumbing by DLT,,Plumbing by DLT,7139798345 | 7021276595,https://www.facebook.com/Plumbing-By-DLT-217036568422674/,"6009 Bellaire Unit #137, Houston,, TX 77081"
completecaredevelopmentcenter.com,Complete Care Development Center LLC.,Complete Care Development Center LLC.,Complete Care Development Center LLC. | Complete Care Development Center | Complete Care Develo,,,
kaleofamilies.org,Kaleo Family Services,,Kaleo Family Services | Kaleo Families,,,
monahanclinics.com,Monahan Chiropractic Medical Clinics,,Monahan Chiropractic Medical Clinics | Monahan Chiropractic | Monahan Clinics | Monahan Chiropractic Medical,9048248353 | 3863282710,https://www.instagram.com/monahanchiro_medical/ | https://www.facebook.com/MonahanClinics,"419 Anastasia Blvd St. Augustine, FL 32080 | 905 St Johns Ave Palatka, FL 32177"
samantharaiderbrown.com,Samantha Brown,,Samantha Brown | Samantharaiderbrown,1764078722 | 1681832297 | 2027142785 | 1775151484,https://www.facebook.com/WordPresscom | https://www.linkedin.com/in/samantha-brown-she-her-3b9b0b131/,
beagibbons.com,Andrew Gibbons,,Andrew Gibbons,,,
getranx.com,Getranx,,Getranx,,,
iam-boeing.com,IAM Boeing Joint Programs Central Site Office,,IAM Boeing Joint Programs Central Site Office,,,
roux30a.com,Roux 30a,Roux 30a Enterprises LLC.,Roux 30a | Roux 30a Enterprises LLC.,8502130899,https://www.facebook.com/Roux30a | https://www.instagram.com/roux30a/,
1laurellane.com,1 Laurel Lane,,1 Laurel Lane,,,
airprofork.com,AirPro Fork,,AirPro Fork,,http://instagram.com/airprofork,
candybartending.com,Candy Bar Personal Bartending Services,,Candy Bar Personal Bartending Services,,,
kelleyroadrace.com,Kelley Road Race,SNERRO LLC.,Kelley Road Race | SNERRO LLC.,,,
marrs-jonesfuneralhome.com,Marrs-Jones Funeral,,Marrs-Jones Funeral | Marrs-Jones Funeral Home | Marrs-Jones | All Faiths of the Pines,5122372425,http://www.facebook.com/MarrsJonesFuneralHomeAllFaithsofthePinesChapel/,
motherssoontobe.com,Mothers Soon To,,Mothers Soon To,,,
palla-siding-and-windows.business.site,Palla Siding & Windows,,Palla Siding & Windows,,,
propertyguysnj.com,Property Guys,,Property Guys | Property Guys NJ,,,
rcgglobaltv.com,RCG Global TV Network,,RCG Global TV Network | RCG Global TV,,,
rlosrivera.com,XV CAPITAL LLC.,XV CAPITAL LLC.,XV CAPITAL LLC.,,,
starcomconsulting.com,Starcom Consulting,Starcom Consulting Inc.,Starcom Consulting | Starcom | Starcom Consulting Inc.,,,
torget.org,Torget,,Torget,,,
cancersupportdelaware.org,Cancer Support Community Delaware,,Cancer Support Community Delaware | Cancer Support Group | Cancer Support Community,,,
cryptohomiesclub.io,CryptoHomies Club,Homieshop Properties LLC or Non-Fungible Art Inc.,CryptoHomies Club | CRYPTO HOMIES | Homieshop Properties LLC or Non-Fungible Art Inc. | Homieshop Properties LLC.,,https://twitter.com/CRYPTOHOMIES_ | https://www.instagram.com/cryptohomies_/ | https://www.facebook.com/cryptohomiesnft,
jessicaashwellness.com,Jessica Ash Wellness,Jessica Ash Wellness LLC.,Jessica Ash Wellness | Jessica Ash Wellness LLC.,,https://www.instagram.com/jessicaashwellness/ | https://www.youtube.com/@JessicaAshWellness1,
pctouchservices.com,PC Touch Services,PC Touch Services Inc.,PC Touch Services | PC Touch Services Inc. | Pc Touch Svc. Inc.,,,
sharonkinghoge.com,Sharon King Hoge,,Sharon King Hoge,,https://twitter.com/SharonKingHoge,
steppir.com,SteppIR Communication Systems,SteppIR Inc.,SteppIR Communication Systems | SteppIR | SteppIR Inc.,4254531910 | 4254624415,,
highwayonerealestate.com,Highway One Real Estate,,Highway One Real Estate,8052352565,https://www.facebook.com/highway-one-realty-218737271556777/ | https://www.linkedin.com/in/nadine-lilley-50146633,"148 North Ocean Ave, Cayucos, CA 93430"
minastollery.com,Mina Stollery,,Mina Stollery,,https://www.instagram.com/electric_skillet/,
amwindowcleaning.org,A & M Window Cleaning,,A & M Window Cleaning,,,
cincyscrubs.com,Cincy Scrubs,,Cincy Scrubs,1056782248 | 5139396007 | 1621981791 | 4050964156 | 7748593354,https://www.facebook.com/cincyscrubs/ | https://www.instagram.com/@CincyScrubs | https://www.instagram.com/CincyScrubs | https://www.facebook.com/DubsScrubs | https://instagram.com/dubsscrubs.ut,"45246United States Dayton Store 435 Miamisburg Centerville Rd, Dayton, OH 45459"
figlass.biz,FIglass,,FIglass,8453546074 | 6315835644,,
horizons.church,Horizons,,Horizons | Horizons Community Church | Horizons Church | Horizons Church Lincoln NE,4025125700,https://www.facebook.com/HorizonsCommunityChurch/ | https://www.instagram.com/horizons_community_church/,"3200 Grainger Pkwy, Lincoln, NE 68516"
mygoodhorse.weebly.com,Good Horse,,Good Horse,1775165518 | 8054791140 | 4900978564,,
wombatworks.org,Wombat Works,Wombat Works LLC.,Wombat Works | Wombat Works LLC.,,,
yourhairdynasty.com,Your Hair Dynasty,Your Hair Dynasty LLC.,Your Hair Dynasty | Your Hair Dynasty LLC. | Your Hair,,https://www.instagram.com/yourhairdynasty | https://www.facebook.com/yourhairdynasty | https://www.twitter.com/yourhairdynasty,"10275 Industrial Boulevard, Covington, GA 30014"
alpha-research-associates-research-institute.business.site,Alpha Research Associates,Alpha Research Associates Research Institute,Alpha Research Associates | Alpha Research Associates Research Institute,,,
annarborhomesrealtor.com,Maura Rains,,Maura Rains,,,
astepabovemb.com,A Step Above Flooring,Step Above LLC.,A Step Above Flooring | A Step Above Flooring - Home | Step Above LLC.,8436060758,https://www.instagram.com/astepaboveflooring/ | https://www.facebook.com/AStepAboveFlooringMB,
buchanan-edwards.online,Buchanan-edwards.online,,Buchanan-edwards.online,,,
busiup.com,BusiUp,,BusiUp,,,
clockinc.org,Clock Inc.,Clock Inc.,Clock Inc. | Free Clock Inc.,3095580956,http://facebook.com/clock.inc.qc | https://www.instagram.com/clockinclgbt/ | https://twitter.com/clockincLGBT | https://www.linkedin.com/in/clockinc/ | https://www.facebook.com/designs.chasing,"4102 46th Avenue, Rock Island, IL 61201"
oceancurrent.com,Ocean Current,,Ocean Current,,https://instagram.com/oceancurrent | https://facebook.com/oceancurrent | https://www.tiktok.com/@oceancurrentclothing | https://www.instagram.com/oceancurrent/,
arnoldprint.com,Arnold Printed Communications,Arnold Printed Co.,Arnold Printed Comm | Arnold Printed | Arnold Business Forms Inc. | Arnold Printed Communications | Arnold Printed Co.,7173925491,,"53 Eastman Ave, Lancaster, PA 17603-4475"
deepdivecounseling.net,Deep Dive Counseling LLC.,Deep Dive Counseling LLC.,Deep Dive Counseling LLC. | Deep Dive Counseling,,,
forcht-law.com,Melan M Forcht Law Offices,,Melan M Forcht Law Offices | Law Office of Melan M. Forcht,,,
graciejoplin.com,Gracie Humaitá Joplin,,Gracie Humaitá Joplin | Gracie Humaita Joplin Gracie Humaita | Gracie Joplin,,,
itpc-usa.com,Italian Travel Promotion Council,,Italian Travel Promotion Council,,https://www.facebook.com/wix | https://instagram.com/wix | https://pinterest.com/wixcom/ | https://www.twitter.com/wix,
scienceeducators.org,Science Educators,,Science Educators,,,
directdrivelogistics.com,Direct Drive Logistics - Milwaukee,,Direct Drive Logistics - Milwaukee | Direct Drive Logistics,8776335045,,"11122 W Rogers St, Milwaukee, WI 53227 | 14110 Transportation Ave Interamerica Distribution Park, Laredo, TX 78045"
gsbphoto.com,Gordon S Bernstein Photo,,Gordon S Bernstein Photo | Bernstein Gordon S,,,
pinehavenresort.com,Pine Haven Resort,,Pine Haven Resort,2186822547,https://www.facebook.com/Pine-Haven-Resort-on-Blackwater-Lake-130381357029056/ | https://www.facebook.com/HackCFC/ | https://www.facebook.com/NorLightsCasino/ | https://www.facebook.com/bearpausetheater/,
cavachonsofoklahoma.com,Cavachons of Oklahoma,,Cavachons of Oklahoma,,,
fuecid.shop,FUECID,,FUECID | Store Group Holdings Ltd.,,,
janellesrestaurant.com,Janelles Restaurant,,Janelles Restaurant | Janelle’s Caribbean Restaurant,,,
peacefulwolftaichi.com,Peaceful Wolf Tai,,Peaceful Wolf Tai | Peaceful Wolf T'Ai Chi Ch'uan,,,
uomosport.com,Uomo Sport,,Uomo Sport,3102050407,https://www.facebook.com/UOMOSPORT2016/ | https://www.instagram.com/uomo_sport/ | https://twitter.com/uomo_sport | http://twitter.com/uomo_sport | http://instagram.com/uomo_sport | https://www.linkedin.com/company/uomo-sport,
warnby.com,Warnby,,Warnby,,,
antiochassistedliving.com,The Residences Antioch,,The Residences Antioch,,,
davidprieto.realestate,Sync Brokerage,,Sync Brokerage,8184223831,https://www.facebook.com/DPREServices/ | https://www.linkedin.com/in/david-prieto-0a908330/,"17404 Ventura Blvd. Unit 110, Encino, CA 91316"
gygeneralservices.business.site,G&Y GeneralWashServices Corp.,G&Y GeneralWashServices Corp.,G&Y GeneralWashServices Corp.,,,
kickitupquilting.com,Kick It Up Quilting,,Kick It Up Quilting | Kick It Up Quilting2,,https://www.instagram.com/kickitupquilting/ | https://www.facebook.com/KickItUpQuilting/,
koimountain.com,Koi Mountain,,Koi Mountain | Koi MountainBath-and-body,,,
pinolevistareimagined.com,Village at Novato,,Village at Novato,,,
seamuspuppy.com,KIND HEART,,KIND HEART,,,
aop3d.com,AOP3D tech,AOP3D ULTIMATE PC.,AOP3D tech | AOP3D | AOP3D ULTIMATE PC.,9596251103 | 9596250644 | 7815071606 | 9596251136 | 1768426344,https://www.facebook.com/AOPthreeD,"2026 AOP3D TECH LABS. #1_IN_KINDNESS 5 Whistlestop Mall, Rockport, MA 01966"
off-trail.co,Off trail,,Off trail,,https://www.instagram.com/offtrail.co/ | https://www.youtube.com/@off-trail,
proexecstaffing.com,Pro-Exec Staffing LLC.,Pro-Exec Staffing LLC.,Pro-Exec Staffing LLC. | Pro Exec Staffing,,,
stewartgrain.com,Stewart Grain,Stewart Grain Co.,Stewart Grain | Stewart Grain Co. | Stewart Grain Co. Inc.,7659862254 | 2177597938 | 5045125454 | 7547950481 | 7425116200,,
truyasushica.com,Truya Sushi,,Truya Sushi,4082444534 | 0514082444,,"3431 El Camino Real, Santa Clara, CA 95051"
